id,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
0,1,14102100,1005,0,1,2,15706,320,50,1722,0,35,-1,79,6.23613E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,5.04607E+18,4.29567E+18
1,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,5.05462E+17,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,2.8148E+18,8.5977E+18
2,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,2.75155E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,7.16726E+18,-6.35162E+18
3,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,100084,79,-4.6586E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-3.62038E+18,-9.06866E+18
4,1,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,4.12375E+17,-6.98922E+18,-2.17015E+18,-7.03855E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,8.71823E+18,-7.64013E+18
5,1,14102100,1005,0,1,0,16920,320,50,1899,0,431,100077,117,4.35689E+18,-8.39147E+18,-6.32131E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,8.39205E+18,-6.35162E+18
6,1,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-4.54238E+18,-8.867E+18,3.13455E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.30621E+18,3.61784E+18
7,1,14102100,1005,1,1,0,20632,320,50,2374,3,39,-1,23,-2.93638E+18,-5.00298E+18,-2.20517E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,5.56408E+18,-3.04505E+18
8,1,14102100,1005,0,1,2,15707,320,50,1722,0,35,-1,79,5.8673E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,1.18727E+18,-7.21547E+18
9,1,14102100,1002,0,0,0,21689,320,50,2496,3,167,100191,23,7.51825E+18,4.78928E+17,1.11604E+17,-2.41439E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-7.76573E+18,-5.33598E+18,4.74243E+16
10,1,14102100,1005,1,1,0,17747,320,50,1974,2,39,100019,33,8.16218E+17,-5.00298E+18,-2.20517E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-2.04076E+18,-7.62454E+17
11,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,3.50647E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.8165E+18,3.55326E+18
12,1,14102100,1005,0,1,2,20596,320,50,2161,0,35,100148,157,1.06858E+18,9.03269E+18,-3.10119E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,4.46417E+18,-6.23172E+18
13,1,14102100,1005,0,1,0,19771,320,50,2227,0,687,100077,48,6.10171E+18,-8.39147E+18,-6.32131E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,3.32665E+18,-1.49136E+18
14,1,14102100,1005,0,1,0,20984,320,50,2371,0,551,-1,46,9.33146E+17,8.62995E+18,1.11604E+17,-2.41439E+18,-2.82822E+18,-9.04228E+17,4.84492E+18,-3.51805E+18,-4.99423E+18,7.30693E+18
15,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,-2.95951E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.15491E+18,-6.35162E+18
16,1,14102100,1005,0,1,0,17914,320,50,2043,2,39,-1,32,6.02979E+18,5.19199E+17,-8.24504E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.56317E+18,-6.16526E+17
17,1,14102100,1005,0,1,2,15708,320,50,1722,0,35,100084,79,4.16878E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,1.21346E+18,-5.44704E+18
18,1,14102100,1005,1,1,0,6558,320,50,571,2,39,-1,32,2.48924E+18,7.15345E+18,-8.2006E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,3.55785E+18,-1.97946E+18
19,1,14102100,1005,0,1,0,21234,320,50,2434,3,163,100088,61,-8.9682E+18,8.62995E+18,1.11604E+17,-2.41439E+18,4.64678E+18,-9.04228E+17,7.59867E+18,-3.51805E+18,-8.12755E+18,4.97634E+17
20,1,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,1.50774E+18,1.68335E+18,-6.80248E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,5.75227E+18,-3.75047E+18
21,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-1.80231E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.30466E+18,-7.30806E+18
22,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,1.58521E+18,1.68335E+18,-6.80248E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-1.77004E+18,8.6847E+18
23,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,1.61588E+17,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,4.72165E+18,-7.54348E+18
24,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,100083,79,-3.85033E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,8.1339E+18,1.07701E+18
25,1,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,6.99209E+18,8.62995E+18,1.11604E+17,-2.41439E+18,6.39136E+18,8.51175E+18,4.84492E+18,5.64019E+18,-1.54956E+18,-7.96854E+18
26,1,14102100,1005,1,1,0,20984,320,50,2371,0,551,100217,46,8.67284E+18,-5.00298E+18,-2.20517E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-4.0681E+18,-1.56356E+18
27,1,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,-4.90861E+17,8.62995E+18,1.11604E+17,-2.41439E+18,-3.88174E+18,-6.32762E+18,4.84492E+18,1.03101E+18,2.8252E+18,4.43884E+18
28,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,-7.08061E+18,1.68335E+18,-6.80248E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,1.2346E+18,-3.20322E+18
29,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,3.245E+17,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.73674E+18,-4.01772E+18
30,1,14102100,1005,0,1,3,15708,320,50,1722,0,35,-1,79,7.04062E+18,8.62995E+18,1.11604E+17,-2.41439E+18,2.21235E+18,-6.32762E+18,7.89794E+18,-9.17105E+18,7.96894E+18,3.61932E+18
31,1,14102100,1005,0,1,0,16838,320,50,1882,3,35,-1,13,-2.68978E+18,8.31101E+18,-4.87273E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-5.41149E+18,5.22977E+18
32,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100083,79,-3.04191E+17,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.99051E+18,3.20855E+18
33,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,8.76459E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,7.99021E+18,-3.20322E+18
34,1,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-7.81145E+18,1.68335E+18,-6.80248E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-1.47628E+18,-3.20322E+18
35,1,14102100,1005,0,1,3,18987,320,50,2158,3,291,100193,61,-1.05199E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-7.00467E+18,-6.32762E+18,7.89794E+18,2.67308E+18,8.16418E+18,-1.45858E+18
36,1,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,-6.91326E+18,5.64833E+18,7.42146E+18,8.85715E+17,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.44856E+17,5.9949E+18
37,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,100034,157,-2.49306E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-9.07506E+18,-4.52592E+18,-4.84056E+18,-3.51805E+18,-1.31439E+18,-1.01943E+18
38,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-7.94911E+18,5.64833E+18,7.42146E+18,8.85715E+17,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,1.09061E+18,3.09829E+18
39,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-4.72584E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,4.3848E+18,-4.11852E+18
40,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,5.37592E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-2.44479E+18,-6.1781E+18
41,1,14102100,1005,0,1,0,19870,320,50,2271,0,687,100075,48,-5.53939E+18,-4.3699E+18,-5.37443E+18,6.95072E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,7.16081E+18,-1.0242E+18
42,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-8.93917E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-4.29701E+17,-6.32762E+18,7.89794E+18,2.98707E+18,1.98719E+17,1.97655E+18
43,1,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-4.68499E+18,8.62995E+18,1.11604E+17,-2.41439E+18,7.74474E+18,8.51175E+18,4.84492E+18,5.98017E+18,-3.57416E+18,-7.58302E+18
44,1,14102100,1002,0,0,0,21661,320,50,2446,3,171,100228,156,-1.78124E+18,4.78928E+17,1.11604E+17,-2.41439E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-8.51061E+18,1.11553E+17,-6.10579E+18
45,1,14102100,1005,1,1,0,16208,320,50,1800,3,167,100075,23,-1.09455E+18,6.46443E+18,-1.59721E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-4.91046E+18,7.11964E+18
46,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,6.90135E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,7.79139E+18,2.96537E+18
47,1,14102100,1005,1,1,0,17037,320,50,1934,2,39,-1,16,8.56609E+18,-5.00298E+18,-2.20517E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,1.22064E+18,3.08626E+18
48,1,14102100,1005,1,1,0,16920,320,50,1899,0,431,-1,117,8.83485E+18,2.58037E+18,2.13902E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-4.22014E+18,-5.93777E+18
49,1,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,8.20527E+18,1.68335E+18,-6.80248E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.84033E+18,7.50165E+18
50,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,-6.03234E+18,5.5549E+18,6.87727E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.79101E+18,3.12315E+18
51,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,1.29468E+16,8.62995E+18,1.11604E+17,-2.41439E+18,7.16569E+18,-6.32762E+18,4.84492E+18,-3.51805E+18,8.49274E+18,-4.78401E+18
52,1,14102100,1005,0,1,2,18993,320,50,2161,0,35,100131,157,1.96744E+18,8.62995E+18,1.11604E+17,-2.41439E+18,6.14185E+17,-6.32762E+18,6.08038E+18,-3.51805E+18,-3.30952E+18,-5.44704E+18
53,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-3.61662E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.44632E+18,7.56804E+18
54,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-1.49818E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.24085E+18,1.97655E+18
55,1,14102100,1005,1,1,0,16615,320,50,1863,3,39,100188,23,4.59448E+18,2.58037E+18,2.13902E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-7.59651E+18,9.1974E+18
56,1,14102100,1005,1,1,0,20634,320,50,2374,3,39,-1,23,3.59171E+18,-5.00298E+18,-2.20517E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-5.35122E+18,-2.61613E+18
57,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,1.29044E+17,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,1.98878E+18,1.97655E+18
58,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-6.76272E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-2.47353E+17,-6.32762E+18,-4.84056E+18,-3.51805E+18,-5.21924E+17,5.87843E+18
59,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,5.47712E+18,5.64833E+18,7.42146E+18,8.85715E+17,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,8.59372E+18,7.93513E+18
60,1,14102100,1005,0,1,0,20596,320,50,2161,0,35,100034,157,4.54087E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-9.07506E+18,-4.52592E+18,-4.84056E+18,-3.51805E+18,-4.61384E+18,4.03893E+18
61,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-4.10338E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,7.79139E+18,-3.20322E+18
62,1,14102100,1005,0,1,0,17212,320,50,1887,3,39,100202,23,-2.07327E+18,5.60318E+18,1.86458E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,2.75384E+18,4.48751E+18
63,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,5.22411E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.52501E+18,7.11964E+18
64,1,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,5.60846E+16,1.68335E+18,-6.80248E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,4.89654E+18,7.50165E+18
65,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,6.22779E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,2.35031E+18,7.74943E+18
66,1,14102100,1005,1,1,0,17747,320,50,1974,2,39,100021,33,-8.50732E+18,-5.00298E+18,-2.20517E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-7.08935E+18,5.22977E+18
67,1,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,-3.35785E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-2.4838E+18,-5.0028E+17,4.84492E+18,-3.51805E+18,1.91695E+18,-6.04684E+18
68,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-2.91505E+18,-3.50419E+18,2.31096E+17,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,8.83068E+18,3.55326E+18
69,1,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,-4.25261E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-3.80082E+18,-4.01772E+18
70,1,14102100,1005,1,1,0,17914,320,50,2043,2,39,-1,32,5.6766E+17,8.88937E+18,5.5141E+17,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-7.62529E+18,-2.66299E+18
71,1,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,-8.06041E+18,1.68335E+18,-6.80248E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-1.47628E+18,-3.20322E+18
72,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,5.33362E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.92572E+18,-3.20322E+18
73,1,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,8.08596E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.12182E+18,3.55326E+18
74,1,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,8.6268E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-7.45508E+18,-5.02756E+18
75,1,14102100,1005,0,1,0,17654,300,250,1994,2,39,-1,33,-1.33573E+17,-6.0065E+18,-4.78816E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-5.95794E+18,8.5614E+18
76,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,7.28265E+18,-5.49735E+18,8.79919E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.48897E+18,8.89239E+18
77,1,14102100,1005,1,1,0,20362,320,50,2333,0,39,-1,157,9.37426E+17,-5.00298E+18,-2.20517E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.36288E+18,-3.04505E+18
